id	type	language	ownerInstitutionCode	eventID	parentEventID	samplingProtocol	sampleSizeValue	sampleSizeUnit	eventDate	year	habitat	fieldNumber	higherGeography	continent	country	decimalLatitude	decimalLongitude	geodeticDatum	footprintWKT
1a567472-aea1-4406-8e3b-66fa6ea7fae6	Event	en	NTNU-VM	1a567472-aea1-4406-8e3b-66fa6ea7fae6							low alpine	Site: A	Europe | Norway | Setesdal	Europe	Norway				
5d35293f-967a-4636-93f5-81ac00ef624c	Event	en	NTNU-VM	5d35293f-967a-4636-93f5-81ac00ef624c							low alpine	Site: B	Europe | Norway | Setesdal	Europe	Norway				
86bc377d-f029-4e84-8d9a-ad2812cc9c7e	Event	en	NTNU-VM	86bc377d-f029-4e84-8d9a-ad2812cc9c7e							low alpine	Site: C	Europe | Norway | Setesdal	Europe	Norway				
0bfa2e45-4945-4665-8a50-f5d5fbb11f52	Event	en	NTNU-VM	0bfa2e45-4945-4665-8a50-f5d5fbb11f52							low alpine	Site: D	Europe | Norway | Setesdal	Europe	Norway				
7b2302a5-56bd-40c0-95fe-ed964cf0d0c4	Event	en	NTNU-VM	7b2302a5-56bd-40c0-95fe-ed964cf0d0c4							low alpine	Site: E	Europe | Norway | Setesdal	Europe	Norway				
486a071e-b7e4-49d1-92cc-2242b365581d	Event	en	NTNU-VM	486a071e-b7e4-49d1-92cc-2242b365581d							low alpine	Site: F	Europe | Norway | Setesdal	Europe	Norway				
b1833d2e-d5d2-41e3-bf6c-dbfcb8afd84d	Event	en	NTNU-VM	b1833d2e-d5d2-41e3-bf6c-dbfcb8afd84d							low alpine	Site: G	Europe | Norway | Setesdal	Europe	Norway				
1ed9efdd-f84d-496d-aaf9-a8c12c5b152f	Event	en	NTNU-VM	1ed9efdd-f84d-496d-aaf9-a8c12c5b152f							low alpine	Site: H	Europe | Norway | Setesdal	Europe	Norway				
f82e86a5-f695-4e01-8dfb-83f390c1293f	Event	en	NTNU-VM	f82e86a5-f695-4e01-8dfb-83f390c1293f							low alpine	Site: I	Europe | Norway | Setesdal	Europe	Norway				
defe1c59-d3ab-448f-8642-1e09ffcc1b90	Event	en	NTNU-VM	defe1c59-d3ab-448f-8642-1e09ffcc1b90							low alpine	Site: J	Europe | Norway | Setesdal	Europe	Norway				
f22d233c-c884-493b-9ae9-49637fcc0c56	Event	en	NTNU-VM	f22d233c-c884-493b-9ae9-49637fcc0c56	1a567472-aea1-4406-8e3b-66fa6ea7fae6						low alpine|No grazing	Site: A|Treatment: No grazing	Europe | Norway | Setesdal	Europe	Norway				
e0784bd0-e67b-4b1c-8a51-f93dfa82817f	Event	en	NTNU-VM	e0784bd0-e67b-4b1c-8a51-f93dfa82817f	1a567472-aea1-4406-8e3b-66fa6ea7fae6						low alpine|Grazed control	Site: A|Treatment: Grazed control	Europe | Norway | Setesdal	Europe	Norway				
615ac471-d986-4a15-b4ee-e2dfb7736e82	Event	en	NTNU-VM	615ac471-d986-4a15-b4ee-e2dfb7736e82	5d35293f-967a-4636-93f5-81ac00ef624c						low alpine|No grazing	Site: B|Treatment: No grazing	Europe | Norway | Setesdal	Europe	Norway				
5b89b86a-daf2-4bbe-a548-63395dcc7183	Event	en	NTNU-VM	5b89b86a-daf2-4bbe-a548-63395dcc7183	5d35293f-967a-4636-93f5-81ac00ef624c						low alpine|Grazed control	Site: B|Treatment: Grazed control	Europe | Norway | Setesdal	Europe	Norway				
fed7d169-221a-4422-998f-bbf013541334	Event	en	NTNU-VM	fed7d169-221a-4422-998f-bbf013541334	86bc377d-f029-4e84-8d9a-ad2812cc9c7e						low alpine|No grazing	Site: C|Treatment: No grazing	Europe | Norway | Setesdal	Europe	Norway				
4ef42286-a983-43b7-b40a-0e3d1f4a4fcb	Event	en	NTNU-VM	4ef42286-a983-43b7-b40a-0e3d1f4a4fcb	86bc377d-f029-4e84-8d9a-ad2812cc9c7e						low alpine|Grazed control	Site: C|Treatment: Grazed control	Europe | Norway | Setesdal	Europe	Norway				
2244f234-e07b-4f8a-8a0d-b3c4cea9f330	Event	en	NTNU-VM	2244f234-e07b-4f8a-8a0d-b3c4cea9f330	0bfa2e45-4945-4665-8a50-f5d5fbb11f52						low alpine|No grazing	Site: D|Treatment: No grazing	Europe | Norway | Setesdal	Europe	Norway				
29a876c4-b1d7-4f58-87ae-cf60f21dd459	Event	en	NTNU-VM	29a876c4-b1d7-4f58-87ae-cf60f21dd459	0bfa2e45-4945-4665-8a50-f5d5fbb11f52						low alpine|Grazed control	Site: D|Treatment: Grazed control	Europe | Norway | Setesdal	Europe	Norway				
