"scientificName","occurenceQuantity","eventID","occurenceID"
"Alchemilla alpina",6.25,"0c53fec8-5887-4414-958b-130d76cf322a","4bf41649-30b1-438c-a72a-3c696919aed5"
"Agrostis cappilaris",68.75,"be1e9fc7-3de5-44e3-b0c7-a2d4ac33664f","9a2152f5-c78d-4c80-b8b3-8eb8b6984942"
"Agrostis cappilaris",62.5,"56c2e16b-675f-410c-8d2f-ab4bb5b00499","15388a27-5281-4b6a-b26e-f7fd95834fe9"
"Agrostis cappilaris",62.5,"16feb57e-7bd2-429d-8647-20bede92b018","131d2196-4a37-4cc0-bea0-23efcc7dd1eb"
"Agrostis cappilaris",31.25,"1dcd7388-347c-4285-b6bf-30e61e6bda8b","18ca98f2-dda8-4265-9cdb-9691ec4fe706"
"Agrostis cappilaris",56.25,"cc8c1636-ef48-4bb3-bf42-4e865b877703","0aa11a21-c849-4edf-8516-fa62d0f67a60"
"Agrostis cappilaris",31.25,"27cbd8f2-7397-4373-b870-7893bf6ed3da","e8c0513b-4024-420d-b9dd-fcf7bdf443f5"
"Agrostis cappilaris",56.25,"76249a87-7146-4b52-b1d5-245fe6839e91","8961c7d5-37c4-4dd0-bbc4-9f507f512fdd"
"Agrostis cappilaris",12.5,"ed808378-c16e-4b4b-8cb7-cb96f88553e3","a9b03283-e08c-4923-b9f9-e589c9d068f9"
"Agrostis cappilaris",18.75,"ef098e42-3637-41da-8e5e-886012d0385d","77e360e2-e692-45a3-b507-f6d6fe8e928a"
"Agrostis cappilaris",50,"50aae91b-b9fd-4bfe-843a-0b7628d03746","b74c17d4-b117-44af-b231-81f02f1137a0"
"Agrostis cappilaris",31.25,"b9193ffe-a516-413a-80b6-e34c69415b48","af5bb85d-3cd7-4d5f-93d9-cff8eec1d7ab"
"Agrostis cappilaris",25,"d2d75a21-d9ff-4267-9d91-df613a77329b","eb02c6e8-f22b-43d5-993e-bb9db2ebffc0"
"Agrostis cappilaris",56.25,"e1662195-cd74-4a24-980b-5c19cc399bd6","dab8009e-59ce-46aa-bdad-b2d9a6a4105b"
"Agrostis cappilaris",6.25,"a046746a-6ffe-4f44-af8d-d9c81b32d5d0","4333abc0-6204-4e2b-931c-75e1825f1a54"
"Agrostis cappilaris",75,"049e5dbe-9ede-4751-9d23-bb1341ab0386","9abdff45-e112-462e-a15a-40587b7a2585"
"Agrostis cappilaris",12.5,"c68b575d-99d9-485e-bff8-b25a21b4402e","ae070109-9827-4481-b3e4-337fc7340b30"
"Agrostis cappilaris",50,"4c92a89f-ab94-48a0-835a-c8a2d5768a26","4cbe4f9e-0203-4ce7-a5e1-ba5c7dcb7db5"
"Agrostis cappilaris",75,"4120e6c9-5f58-43dc-993f-65e2b542316b","a4598020-e3c5-4df1-8186-3db2b806fa27"
"Agrostis cappilaris",56.25,"18be490a-ab88-4466-a770-c9ef89db01a8","380563e3-4914-4754-b4dc-5748735d20e7"
"Agrostis cappilaris",12.5,"bcc7ba74-aea4-4a88-838c-9ffa37b3986f","a3846608-8a71-4260-b20c-024ffe139f85"
"Agrostis cappilaris",12.5,"ecb3e0ca-3f12-46f1-8d06-8aef9cdd79b1","8d26c21e-228f-4990-90d2-ffc228658c7e"
"Agrostis cappilaris",81.25,"046a42dd-5840-4228-8033-887b076ecedc","62e95ce5-c4a0-479e-8b6a-f4303ee47523"
"Agrostis cappilaris",62.5,"17398dad-b5e7-41e8-be3c-80104e20e6f7","be3d7935-074b-488f-b793-c0ba62573e40"
"Agrostis cappilaris",6.25,"40b96c59-a4e5-4509-aed6-b52f641bf26f","38461ab3-5259-402a-b0ae-62afd98e27d0"
"Agrostis cappilaris",56.25,"cf7bf143-0e3f-4f97-8b03-93dcfb1ac905","2bee5d64-1076-450c-ba4e-3b7b2061aedd"
"Agrostis cappilaris",31.25,"a64383c3-1c75-4333-a2fa-6b86671475f7","0db4b685-a5be-4eb5-a49c-23f5b4d02ad4"
"Agrostis cappilaris",50,"d373b24e-1f1b-4ab2-bc82-b65741d4ed37","487e2bbe-5911-4aff-a057-1f484845469e"
"Agrostis cappilaris",50,"90279433-e336-450d-bd68-1583b77b06c5","267805d4-0fa1-4ec9-9d6b-7bb4b07795c7"
"Agrostis cappilaris",50,"99435b73-3b05-4d6b-996c-ec916ef868aa","d063afb3-bbd7-4dc4-bf7c-c0c774b4a272"
"Agrostis cappilaris",62.5,"78c84f21-4733-4b06-a5b2-4fd677455cc3","a5aedc2f-3f52-4871-ace2-da377b5f98f2"
"Agrostis cappilaris",6.25,"9693ed4b-b982-496b-b866-dc091cdda00b","f75afc55-27ef-4770-bf17-1237a9457c49"
"Agrostis cappilaris",6.25,"3cc4e0f2-eff9-48f6-bf79-15d494f4c1b4","5aea88d1-5668-4311-b7c0-009883d660ea"
"Agrostis cappilaris",68.75,"270956ec-3eab-41f5-88fe-3f8af4aaa197","c8f406f9-7c8a-4fbe-94eb-9ebe34b4a63b"
"Agrostis cappilaris",56.25,"cec3e2a3-9b73-4ac3-98bc-d8927cac1cab","472106d6-ab58-4aaf-aa1c-1620c17f689d"
"Agrostis cappilaris",50,"1a920e7a-7bdc-4935-8969-2ae49f7ed333","8fa7bdd5-1919-4dce-ac29-b5205b4748a1"
